financial_year,property_type,category,flat_type,no_of_units
2016,HDB,Rented,Studio Apartments,0
2016,HDB,Rented,Flats sold on short leases,0
2016,DBSS,Sold,3-room flats,9
2016,DBSS,Sold,4-room flats,21
2016,DBSS,Sold,5-room flats,7
2016,DBSS,Rented,3-room flats,0
2016,DBSS,Rented,4-room flats,0
2016,DBSS,Rented,5-room flats,0
2017,HDB,Sold,1-room flats,0
2017,HDB,Sold,2-room flats,3588
2017,HDB,Sold,3-room flats,5458
2017,HDB,Sold,4-room flats,12443
2017,HDB,Sold,5-room flats,5350
2017,HDB,Sold,Executive/Multi-Generation flats,18
2017,HDB,Sold,Studio Apartments,765
2017,HDB,Sold,Flats sold on short leases,1107
2017,HDB,Rented,1-room flats,1773
2017,HDB,Rented,2-room flats,1313
2017,HDB,Rented,3-room flats,298
2017,HDB,Rented,4-room flats,28
2017,HDB,Rented,5-room flats,0
2017,HDB,Rented,Executive/Multi-Generation flats,0
2017,HDB,Rented,Studio Apartments,0
2017,HDB,Rented,Flats sold on short leases,0
2017,DBSS,Sold,3-room flats,2
2017,DBSS,Sold,4-room flats,7
2017,DBSS,Sold,5-room flats,1
2017,DBSS,Rented,3-room flats,0
2017,DBSS,Rented,4-room flats,0
2017,DBSS,Rented,5-room flats,0
2018,HDB,Sold,1-room flats,0
2018,HDB,Sold,2-room flats,3050
2018,HDB,Sold,3-room flats,3462
2018,HDB,Sold,4-room flats,7528
2018,HDB,Sold,5-room flats,2555
2018,HDB,Sold,Executive/Multi-Generation flats,13
2018,HDB,Sold,Studio Apartments,212
2018,HDB,Sold,Flats sold on short leases,890
2018,HDB,Rented,1-room flats,1707
2018,HDB,Rented,2-room flats,1324
2018,HDB,Rented,3-room flats,254
2018,HDB,Rented,4-room flats,35
2018,HDB,Rented,5-room flats,0
2018,HDB,Rented,Executive/Multi-Generation flats,0
2018,HDB,Rented,Studio Apartments,0
2018,HDB,Rented,Flats sold on short leases,0
2018,DBSS,Sold,3-room flats,0
2018,DBSS,Sold,4-room flats,10
2018,DBSS,Sold,5-room flats,1
2018,DBSS,Rented,3-room flats,0
2018,DBSS,Rented,4-room flats,0
2018,DBSS,Rented,5-room flats,0
2019,HDB,Sold,1-room flats,0
2019,HDB,Sold,2-room flats,2032
2019,HDB,Sold,3-room flats,2188
2019,HDB,Sold,4-room flats,5212
2019,HDB,Sold,5-room flats,2160
2019,HDB,Sold,Executive/Multi-Generation flats,17
2019,HDB,Sold,Studio Apartments,259
2019,HDB,Sold,Flats sold on short leases,1409
2019,HDB,Rented,1-room flats,1752
2019,HDB,Rented,2-room flats,1349
2019,HDB,Rented,3-room flats,167
2019,HDB,Rented,4-room flats,15
2019,HDB,Rented,5-room flats,0
2019,HDB,Rented,Executive/Multi-Generation flats,0
2019,HDB,Rented,Studio Apartments,0
2019,HDB,Rented,Flats sold on short leases,0
2019,DBSS,Sold,3-room flats,0
2019,DBSS,Sold,4-room flats,3
2019,DBSS,Sold,5-room flats,2
2019,DBSS,Rented,3-room flats,0
2019,DBSS,Rented,4-room flats,0
2019,DBSS,Rented,5-room flats,0
2020,HDB,Sold,1-room flats,0
2020,HDB,Sold,2-room flats,1432
2020,HDB,Sold,3-room flats,1474
2020,HDB,Sold,4-room flats,3575
2020,HDB,Sold,5-room flats,1635
2020,HDB,Sold,Executive/Multi-Generation flats,8
2020,HDB,Sold,Studio Apartments,3
2020,HDB,Sold,Flats sold on short leases,1071
2020,HDB,Rented,1-room flats,2069
2020,HDB,Rented,2-room flats,2701
2020,HDB,Rented,3-room flats,165
2020,HDB,Rented,4-room flats,8
2020,HDB,Rented,5-room flats,0
2020,HDB,Rented,Executive/Multi-Generation flats,0
2020,HDB,Rented,Studio Apartments,0
2020,HDB,Rented,Flats sold on short leases,0
2020,DBSS,Sold,3-room flats,0
2020,DBSS,Sold,4-room flats,3
2020,DBSS,Sold,5-room flats,0
2020,DBSS,Rented,3-room flats,0
2020,DBSS,Rented,4-room flats,0
2020,DBSS,Rented,5-room flats,0
2021,HDB,Sold,1-room flats,0
2021,HDB,Sold,2-room flats,1598
2021,HDB,Sold,3-room flats,2861
2021,HDB,Sold,4-room flats,6163
2021,HDB,Sold,5-room flats,2870
2021,HDB,Sold,Executive/Multi-Generation flats,14
2021,HDB,Sold,Studio Apartments,0
2021,HDB,Sold,Flats sold on short leases,1444
2021,HDB,Rented,1-room flats,1335
2021,HDB,Rented,2-room flats,1805
2021,HDB,Rented,3-room flats,146
2021,HDB,Rented,4-room flats,4
2021,HDB,Rented,5-room flats,0
2021,HDB,Rented,Executive/Multi-Generation flats,0
2021,HDB,Rented,Studio Apartments,0
2021,HDB,Rented,Flats sold on short leases,0
2021,DBSS,Sold,3-room flats,0
2021,DBSS,Sold,4-room flats,2
2021,DBSS,Sold,5-room flats,0
2021,DBSS,Rented,3-room flats,0
2021,DBSS,Rented,4-room flats,0
2021,DBSS,Rented,5-room flats,0
